"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"楽園なんば店喫煙所（２階）","大阪市中央区難波千日前12番35号","らくえんなんばてんきつえんじょ（２かい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.5平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.502565787364","34.6648539791069","大阪市指定喫煙所"
"四海樓air店（2F）喫煙所","大阪市中央区千日前2丁目11番9号（四海樓air店内）","しかいろうえあーてん（２かい）きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：9.31平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.502975837716","34.6654843167361","大阪市指定喫煙所"
"スロットシアター四海樓（1F）喫煙所","大阪市中央区千日前2丁目11番2号（スロットシアター四海樓店内）","すろっとしあたーしかいろう（１かい）きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.1平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.503115182143","34.6662685431392","大阪市指定喫煙所"
"THE TOBACCO NAMBA","大阪市中央区難波千日前11番6号（なんばグランド花月内）","ざ　たばこ　なんば","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：13.3平方メートル，供用時間：月曜日から日曜日（施設に準ずる）の10時から18時まで（ただし、土曜日、日曜日、祝日は9時から18時まで），喫煙所形態：屋内喫煙所","","135.503817962341","34.6647462602537","大阪市指定喫煙所"
"新大阪丸ビル別館喫煙所","大阪市東淀川区東中島1丁目18番22号（新大阪丸ビル別館1階）","しんおおさかまるびるべっかんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：14.5平方メートル，供用時間：月曜日から日曜日（祝日含む）の8時から20時まで，喫煙所形態：屋外開放型喫煙所","","135.503525591426","34.7332921437502","大阪市指定喫煙所"
"三共梅田ビル喫煙所","大阪市北区堂山町1番5号","さんきょううめだびるきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.88平方メートル，供用時間：月曜日から日曜日（祝日含む）の終日，喫煙所形態：屋外開放型喫煙所","","135.504061031881","34.7024875542351","大阪市指定喫煙所"
"クリスタ長堀　占い広場喫煙所","大阪市中央区南船場2丁目長堀地下街1号（クリスタ長堀　占い広場内）","くりすたながほり　うらないひろばきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5平方メートル，供用時間：月曜日から日曜日（祝日含む）の6時から23時まで，喫煙所形態：屋内喫煙所","","135.505359247877","34.675117501561","大阪市指定喫煙所"
"たばこハウス ひろたや喫煙所","大阪市浪速区恵美須東1丁目16番11号","たばこはうす　ひろたやきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：17平方メートル，供用時間：月曜日、火曜日、木曜日、金曜日、土曜日、日曜日（祝日含む）9時から18時まで，喫煙所形態：屋内閉鎖型喫煙所","","135.505937687369","34.6536742254648","大阪市指定喫煙所"
"P-ROOTs MANDORE喫煙所","大阪市住吉区我孫子3丁目13番16号（P-ROOTs MANDORE）","ぴーるーつまんどれきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：12.89平方メートル，供用時間：月曜日から日曜日（祝日含む）終日，喫煙所形態：屋外開放型喫煙所","","135.506949648416","34.6019248413205","大阪市指定喫煙所"
"扇町公園喫煙所","大阪市北区扇町1丁目1番（扇町公園内）","おうぎまちこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：10.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.509079987165","34.7056430025859","大阪市指定喫煙所"
"サウスホレストビル1階駐車場車路","大阪市北区南森町１丁目４番19号 サウスホレストビル1階駐車場車路","さうすほれすとびる１かいちゅうしゃじょうしゃろ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.08平方メートル，供用時間：月曜日から土曜日（祝日除く）の8時から21時まで，喫煙所形態：屋内喫煙所","","135.50980957285","34.6973611082625","大阪市指定喫煙所"
"天満駅前喫煙所　※現在利用できません","JR天満駅南側","てんまえきまえきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：11.7平方メートル，供用時間：月曜日から日曜日（祝日含む）の8時から22時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.511677965769","34.7052641904336","大阪市指定喫煙所"
"天王寺公園エントランスエリア喫煙所","大阪市天王寺区茶臼山町5番55号","てんのうじこうえんえんとらんすえりあきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.28平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から22時まで，喫煙所形態：屋内喫煙所","","135.512686522356","34.6482294079921","大阪市指定喫煙所"
"ぷらら天満喫煙所","大阪市北区池田町３番１号（ぷららてんま内）","ぷららてんまきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：14平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から21時まで，喫煙所形態：屋外開放型喫煙所","","135.512413838876","34.7067474095669","大阪市指定喫煙所"
"THE TOBACCO ABIKO","大阪市住吉区苅田7丁目8番12号","ざ　たばこ　あびこ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：26.8平方メートル，供用時間：月曜日から金曜日（祝日含む）の8時から19時まで，喫煙所形態：屋内喫煙所","","135.513893861164","34.5993760994794","大阪市指定喫煙所"
"四海樓アタリヤ店（2F）喫煙所","大阪市住吉区苅田5丁目14番9号（四海樓アタリヤ店内）","しかいろうあたりやてん（２かい）きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：4.52平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時まで，喫煙所形態：屋内喫煙所","","135.514224052235","34.5997854457459","大阪市指定喫煙所"
"橋本たばこ店喫煙所","大阪市中央区釣鐘町1丁目6番2号（橋本ビル1階）","はしもとたばこてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.55平方メートル，供用時間：月曜日から金曜日（祝日含む）の8時から19時まで，喫煙所形態：屋内喫煙所","","135.514840987563","34.6880246540615","大阪市指定喫煙所"
"高山たばこ店喫煙所","大阪市天王寺区空堀町11番20号","たかやまたばこてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.3平方メートル，供用時間：月曜日から金曜日（祝日除く）の7時から16時まで，土曜日（祝日除く）の7時から14時まで，喫煙所形態：屋内喫煙所","","135.527002399072","34.6739930059295","大阪市指定喫煙所"
"桃谷公園喫煙所","大阪市生野区桃谷1丁目2番（桃谷公園内）","ももだにこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：10.96平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.529520140912","34.6603465149754","大阪市指定喫煙所"
"アミューズイチゴ店喫煙所（北西）","大阪市都島区都島本通３丁目28番10号","あみゅーずいちごてんきつえんじょ（ほくせい）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.62平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.529716197381","34.7086693472767","大阪市指定喫煙所"
"アミューズイチゴ店喫煙所（北東）","大阪市都島区都島本通３丁目28番10号","あみゅーずいちごてんきつえんじょ（ほくとう）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.62平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.529717943271","34.7086170405166","大阪市指定喫煙所"
